loan_product,interest_rate,apr,loan_term_years,lender_name,updated_date,mortgageType
30-Year Fixed Rate,6.58%,6.64%,30,Bankrate,2025-08-08,Purchase
20-Year Fixed Rate,6.26%,6.35%,20,Bankrate,2025-08-08,Purchase
15-Year Fixed Rate,5.76%,5.86%,15,Bankrate,2025-08-08,Purchase
10-Year Fixed Rate,5.71%,5.79%,10,Bankrate,2025-08-08,Purchase
30-Year Fixed Rate FHA,6.31%,6.36%,30,Bankrate,2025-08-08,Purchase
30-Year Fixed Rate VA,6.36%,6.41%,30,Bankrate,2025-08-08,Purchase
30-Year Fixed Rate Jumbo,6.66%,6.71%,30,Bankrate,2025-08-08,Purchase
